ciudad,genero,area,salario,edad,antiguedad,nivel_educativo,estado_civil,hijos,turno,satisfaccion_laboral
Itagüí,Femenino,Operativos,5823865.3,57,29,Tecnólogo,Divorciado,1,Mixto,7.4
Sabaneta,Masculino,Operativos,3663290.35,40,3,Técnico,Casado,0,Nocturno,9.4
Sabaneta,Femenino,Operativos,4074186.68,23,13,Profesional,Casado,0,Diurno,9.0
Bello,No Binario,Operativos,2676368.15,53,27,Profesional,Divorciado,1,Mixto,6.4
Sabaneta,Masculino,Operativos,5384101.26,21,36,Profesional,Soltero,0,Mixto,9.6
Medellín,Femenino,Operativos,2151262.68,28,35,Técnico,Casado,1,Nocturno,2.5
Itagüí,Masculino,Operativos,5717876.88,25,38,Secundaria,Divorciado,3,Mixto,4.8
Itagüí,Femenino,Operativos,3068677.89,51,5,Secundaria,Divorciado,0,Nocturno,5.5
Medellín,Masculino,Operativos,4339590.45,55,24,Tecnólogo,Viudo,0,Diurno,2.3
Bello,Masculino,Servicios Generales,3953309.12,62,40,Secundaria,Soltero,0,Nocturno,8.7
Estrella,Femenino,Servicios Generales,3034987.22,39,6,Técnico,Casado,0,Nocturno,5.2
Estrella,Masculino,Operativos,2206036.38,49,9,Secundaria,Unión Libre,2,Nocturno,9.2
Sabaneta,Masculino,Operativos,5800794.69,30,22,Técnico,Viudo,4,Nocturno,5.9
Itagüí,Femenino,Operativos,2791469.6,29,20,Tecnólogo,Soltero,1,Mixto,9.9
Itagüí,Femenino,Servicios Generales,3574840.85,20,7,Posgrado,Divorciado,0,Diurno,1.6
Envigado,Femenino,Operativos,4196781.89,42,26,Tecnólogo,Unión Libre,0,Nocturno,3.0
Envigado,Masculino,Administrativa,6586319.11,28,31,Profesional,Unión Libre,0,Mixto,3.0
Itagüí,No Binario,Operativos,4122311.49,18,7,Secundaria,Unión Libre,1,Mixto,10.0
Estrella,No Binario,Operativos,4784495.74,54,7,Profesional,Casado,0,Nocturno,1.8
Medellín,Femenino,Operativos,2319505.62,39,15,Técnico,Unión Libre,4,Diurno,1.1
Bello,Femenino,Operativos,4526435.85,40,33,Secundaria,Unión Libre,0,Mixto,2.2
Medellín,Femenino,Servicios Generales,3381825.94,53,3,Profesional,Divorciado,4,Nocturno,6.9
Itagüí,Masculino,Operativos,5880582.61,59,19,Secundaria,Divorciado,0,Mixto,6.4
Medellín,Masculino,Operativos,2214216.99,25,14,Tecnólogo,Viudo,0,Nocturno,2.7
Bello,Femenino,Operativos,2641614.42,38,24,Técnico,Viudo,3,Nocturno,2.4
Bello,Femenino,Operativos,2783569.5,19,19,Secundaria,Viudo,0,Nocturno,9.2
Estrella,Femenino,Administrativa,7909145.17,29,27,Primaria,Divorciado,0,Nocturno,8.7
Medellín,Masculino,Operativos,2039134.52,44,13,Profesional,Viudo,0,Mixto,9.0
Itagüí,Masculino,Servicios Generales,3144441.92,58,10,Técnico,Casado,3,Mixto,2.2
Sabaneta,Femenino,Administrativa,7970191.76,33,22,Primaria,Viudo,0,Nocturno,5.8
Bello,Masculino,Operativos,4631744.39,39,25,Secundaria,Viudo,1,Nocturno,1.7
Medellín,Masculino,Operativos,4137623.75,37,24,Profesional,Unión Libre,1,Mixto,8.1
Estrella,Masculino,Administrativa,6068816.0,56,25,Profesional,Soltero,1,Nocturno,4.5
Sabaneta,Masculino,Operativos,2530564.32,58,27,Secundaria,Soltero,1,Mixto,4.5
Sabaneta,Masculino,Servicios Generales,3074592.9,50,0,Tecnólogo,Viudo,0,Mixto,3.8
Medellín,Femenino,Servicios Generales,3784334.66,59,24,Primaria,Viudo,1,Nocturno,5.7
Estrella,Masculino,Operativos,4905952.24,42,23,Tecnólogo,Unión Libre,0,Mixto,9.3
Envigado,Femenino,Operativos,5136118.91,24,25,Profesional,Soltero,0,Nocturno,1.5
Medellín,Masculino,Operativos,3809404.15,27,10,Tecnólogo,Unión Libre,0,Mixto,5.6
Itagüí,Masculino,Administrativa,7698843.6,59,37,Técnico,Unión Libre,0,Mixto,3.0
Medellín,Femenino,Operativos,4681068.76,38,26,Profesional,Soltero,1,Nocturno,5.9
Sabaneta,No Binario,Operativos,3092238.29,50,4,Tecnólogo,Divorciado,0,Nocturno,5.4
Bello,Femenino,Servicios Generales,2480738.87,31,20,Tecnólogo,Viudo,0,Nocturno,9.4
Itagüí,Femenino,Operativos,2085520.7,32,29,Profesional,Soltero,1,Mixto,6.3
Itagüí,Femenino,Servicios Generales,3761571.13,26,23,Tecnólogo,Divorciado,0,Nocturno,8.7
Bello,Femenino,Administrativa,6129002.88,27,31,Secundaria,Unión Libre,2,Mixto,6.4
Estrella,Femenino,Operativos,5227583.63,45,19,Secundaria,Divorciado,4,Diurno,1.6
Itagüí,Masculino,Operativos,4447631.24,24,33,Secundaria,Unión Libre,3,Mixto,2.8
Itagüí,Femenino,Administrativa,7031609.61,61,0,Primaria,Casado,0,Mixto,6.8
Itagüí,Masculino,Operativos,3329500.27,39,24,Secundaria,Viudo,0,Diurno,3.3
Itagüí,Femenino,Operativos,3312874.13,48,21,Técnico,Viudo,0,Nocturno,6.4
Estrella,Femenino,Operativos,3967688.87,20,25,Secundaria,Soltero,0,Nocturno,6.2
Sabaneta,No Binario,Operativos,4310891.79,50,3,Técnico,Soltero,3,Mixto,2.5
Sabaneta,Femenino,Operativos,4754857.3,28,18,Tecnólogo,Casado,2,Nocturno,3.9
Estrella,Masculino,Servicios Generales,3109599.22,52,1,Técnico,Soltero,1,Mixto,7.5
Estrella,Femenino,Operativos,5062431.11,60,8,Profesional,Viudo,0,Mixto,3.9
Sabaneta,Femenino,Operativos,2194586.17,54,12,Técnico,Divorciado,1,Nocturno,2.0
Medellín,Masculino,Operativos,5586974.17,19,9,Técnico,Viudo,2,Mixto,1.6
Itagüí,Femenino,Servicios Generales,2944923.57,22,3,Profesional,Soltero,1,Mixto,2.5
Medellín,Femenino,Operativos,5785708.22,24,2,Secundaria,Unión Libre,0,Diurno,4.6
Sabaneta,Femenino,Operativos,2519969.72,28,8,Secundaria,Soltero,0,Mixto,9.9
Envigado,No Binario,Servicios Generales,2649072.6,30,29,Profesional,Viudo,1,Diurno,9.6
Itagüí,Masculino,Operativos,5330715.11,52,18,Posgrado,Divorciado,0,Diurno,7.7
Bello,Masculino,Servicios Generales,2523059.8,18,38,Profesional,Casado,0,Nocturno,5.0
Itagüí,Femenino,Operativos,5163192.18,35,7,Secundaria,Divorciado,0,Nocturno,1.5
Itagüí,Femenino,Operativos,2019800.91,22,16,Tecnólogo,Unión Libre,4,Diurno,3.0
Bello,Masculino,Operativos,4526243.98,36,30,Posgrado,Soltero,3,Nocturno,2.4
Estrella,Femenino,Servicios Generales,3160841.34,18,32,Secundaria,Viudo,4,Mixto,5.6
Medellín,Masculino,Operativos,3748835.54,41,19,Secundaria,Unión Libre,4,Nocturno,2.4
Estrella,Masculino,Operativos,5221842.88,19,7,Secundaria,Unión Libre,0,Diurno,3.0
Estrella,No Binario,Operativos,3833216.64,60,4,Profesional,Unión Libre,0,Nocturno,2.3
Bello,No Binario,Operativos,5240403.7,30,22,Tecnólogo,Casado,0,Mixto,9.8
Sabaneta,Femenino,Operativos,3577381.64,31,31,Profesional,Divorciado,3,Nocturno,9.6
Medellín,Masculino,Operativos,5742534.8,56,13,Profesional,Soltero,1,Mixto,5.1
Itagüí,No Binario,Operativos,2826478.48,30,20,Secundaria,Viudo,0,Diurno,8.0
Itagüí,Masculino,Operativos,3560489.75,24,23,Primaria,Soltero,1,Nocturno,5.6
Itagüí,Masculino,Operativos,4716403.86,20,30,Tecnólogo,Soltero,0,Diurno,7.7
Estrella,Masculino,Operativos,3995743.52,53,20,Posgrado,Soltero,1,Mixto,9.1
Sabaneta,No Binario,Operativos,4735611.49,23,38,Técnico,Divorciado,0,Diurno,4.0
Bello,No Binario,Operativos,3074879.82,25,39,Secundaria,Casado,0,Mixto,2.2
Sabaneta,Femenino,Administrativa,7879334.03,48,1,Secundaria,Casado,1,Nocturno,5.5
Estrella,Femenino,Operativos,2062855.43,54,6,Técnico,Casado,0,Nocturno,1.6
Itagüí,Masculino,Administrativa,6324563.43,46,16,Técnico,Unión Libre,3,Mixto,4.5
Medellín,Femenino,Administrativa,6486777.07,31,21,Profesional,Unión Libre,2,Diurno,8.1
Itagüí,No Binario,Operativos,2854215.29,36,7,Profesional,Casado,1,Diurno,9.3
Estrella,Femenino,Servicios Generales,3205392.67,32,8,Técnico,Unión Libre,3,Mixto,1.4
Itagüí,No Binario,Operativos,2881299.78,60,18,Tecnólogo,Soltero,4,Mixto,8.1
Estrella,No Binario,Operativos,3279485.56,38,30,Secundaria,Soltero,4,Mixto,8.9
Envigado,Masculino,Operativos,2784287.62,58,39,Tecnólogo,Viudo,0,Diurno,8.4
Sabaneta,No Binario,Operativos,2819052.04,37,27,Profesional,Divorciado,1,Mixto,4.8
Bello,Femenino,Operativos,3292527.08,40,14,Profesional,Viudo,0,Diurno,3.8
Sabaneta,Masculino,Operativos,4405332.37,55,29,Secundaria,Casado,1,Mixto,1.6
Sabaneta,Masculino,Operativos,4971943.34,45,17,Técnico,Viudo,4,Diurno,9.0
Estrella,Femenino,Servicios Generales,3812105.78,58,30,Tecnólogo,Divorciado,1,Nocturno,9.1
Bello,Masculino,Operativos,2827461.1,61,4,Técnico,Soltero,0,Diurno,4.7
Itagüí,Femenino,Operativos,4052645.45,31,21,Profesional,Viudo,0,Nocturno,2.6
Envigado,No Binario,Operativos,3221102.91,32,22,Técnico,Soltero,0,Nocturno,9.9
Sabaneta,Masculino,Operativos,2173487.05,62,26,Tecnólogo,Soltero,1,Nocturno,6.7
Sabaneta,Femenino,Servicios Generales,3642283.62,46,24,Técnico,Soltero,0,Diurno,6.2
Estrella,No Binario,Operativos,5554230.64,25,23,Secundaria,Viudo,0,Diurno,4.4
Itagüí,Femenino,Operativos,5491303.53,58,33,Secundaria,Viudo,0,Mixto,8.9
Sabaneta,Masculino,Servicios Generales,3139918.7,24,8,Posgrado,Casado,0,Nocturno,8.7
Medellín,Masculino,Operativos,2409590.5,49,21,Tecnólogo,Viudo,2,Diurno,7.2
Bello,Femenino,Operativos,2498476.98,55,14,Tecnólogo,Soltero,2,Nocturno,9.8
Itagüí,No Binario,Administrativa,7861816.49,32,21,Secundaria,Unión Libre,0,Mixto,8.1
Medellín,Femenino,Operativos,4895194.39,22,8,Técnico,Viudo,4,Nocturno,7.0
Envigado,Femenino,Operativos,5511483.91,46,40,Profesional,Casado,2,Nocturno,5.4
Sabaneta,Femenino,Operativos,3942944.56,32,5,Secundaria,Casado,3,Nocturno,4.2
Bello,Femenino,Administrativa,6563483.24,20,33,Técnico,Soltero,3,Nocturno,1.6
Sabaneta,Masculino,Operativos,5193027.89,24,40,Posgrado,Casado,0,Nocturno,5.9
Medellín,Femenino,Operativos,3811353.82,18,17,Secundaria,Soltero,1,Mixto,9.2
Estrella,No Binario,Operativos,3235510.85,34,24,Tecnólogo,Divorciado,2,Mixto,8.8
Envigado,Masculino,Operativos,5625229.23,55,7,Tecnólogo,Casado,2,Diurno,6.4
Bello,Masculino,Operativos,2844265.49,49,15,Técnico,Divorciado,3,Nocturno,2.4
Itagüí,Femenino,Servicios Generales,3792568.86,41,36,Secundaria,Unión Libre,2,Diurno,4.9
Sabaneta,Masculino,Operativos,3711803.79,62,10,Técnico,Viudo,2,Nocturno,1.8
Sabaneta,Masculino,Servicios Generales,3659833.8,58,39,Técnico,Divorciado,0,Mixto,10.0
Estrella,Femenino,Servicios Generales,2505374.21,44,22,Técnico,Divorciado,3,Mixto,7.5
Bello,Femenino,Operativos,3223840.68,48,26,Secundaria,Casado,1,Diurno,9.6
Bello,Femenino,Operativos,4224363.89,29,38,Tecnólogo,Unión Libre,1,Mixto,4.5
Envigado,No Binario,Operativos,3658245.7,34,31,Técnico,Divorciado,4,Mixto,7.9
Sabaneta,Femenino,Operativos,5557055.12,39,34,Técnico,Casado,0,Nocturno,6.2
Sabaneta,Masculino,Operativos,5776568.07,34,32,Tecnólogo,Soltero,2,Diurno,4.9
Medellín,Femenino,Servicios Generales,2956670.79,38,24,Secundaria,Casado,0,Nocturno,1.0
Sabaneta,No Binario,Operativos,2088426.39,31,21,Profesional,Viudo,3,Mixto,9.7
Envigado,Femenino,Operativos,4408457.65,24,6,Técnico,Soltero,1,Nocturno,4.3
Medellín,Masculino,Servicios Generales,3695459.29,44,6,Tecnólogo,Divorciado,0,Mixto,1.4
Medellín,No Binario,Operativos,5041356.16,29,17,Tecnólogo,Soltero,0,Mixto,4.8
Bello,No Binario,Servicios Generales,2101640.19,39,22,Secundaria,Divorciado,2,Mixto,7.4
Envigado,Femenino,Servicios Generales,2437521.47,52,21,Técnico,Casado,2,Mixto,8.8
Bello,Femenino,Operativos,5155338.16,19,7,Profesional,Divorciado,1,Mixto,2.2
Itagüí,Femenino,Operativos,5392678.82,43,33,Profesional,Unión Libre,1,Mixto,6.2
Sabaneta,Masculino,Servicios Generales,2839976.31,41,12,Técnico,Divorciado,1,Nocturno,6.8
Envigado,Masculino,Servicios Generales,2624096.59,27,11,Secundaria,Divorciado,2,Nocturno,1.0
Bello,Masculino,Operativos,4490151.27,41,35,Secundaria,Casado,0,Nocturno,8.1
Bello,No Binario,Servicios Generales,2471180.41,20,10,Secundaria,Unión Libre,0,Nocturno,3.3
Sabaneta,No Binario,Operativos,2611433.17,26,23,Tecnólogo,Unión Libre,1,Nocturno,1.7
Sabaneta,Femenino,Operativos,4979542.58,61,6,Técnico,Casado,3,Nocturno,4.0
Bello,Masculino,Operativos,2178788.68,45,36,Profesional,Viudo,0,Nocturno,3.1
Sabaneta,Femenino,Operativos,2933810.53,58,26,Profesional,Unión Libre,4,Mixto,4.6
Estrella,Masculino,Operativos,2293397.65,56,4,Secundaria,Soltero,2,Nocturno,7.9
Medellín,Masculino,Servicios Generales,3475830.99,33,39,Técnico,Casado,0,Nocturno,1.4
Itagüí,Femenino,Servicios Generales,2665302.33,23,2,Profesional,Soltero,0,Mixto,5.7
Medellín,Masculino,Operativos,3820431.68,42,22,Profesional,Soltero,1,Nocturno,1.2
Itagüí,Femenino,Operativos,5121965.71,44,32,Técnico,Viudo,2,Mixto,9.1
Itagüí,Masculino,Operativos,3897751.18,23,28,Secundaria,Divorciado,2,Mixto,2.6
Estrella,Masculino,Administrativa,7351373.52,41,13,Secundaria,Casado,3,Diurno,3.4
Estrella,Masculino,Administrativa,7254128.95,25,15,Secundaria,Divorciado,0,Mixto,8.1
Estrella,Femenino,Operativos,4302594.09,27,25,Secundaria,Divorciado,4,Nocturno,6.0
Sabaneta,Masculino,Operativos,5208076.09,62,3,Tecnólogo,Divorciado,2,Mixto,7.2
Itagüí,Masculino,Operativos,3858783.32,33,32,Técnico,Casado,0,Mixto,2.1
Itagüí,Femenino,Operativos,2238126.08,50,13,Secundaria,Viudo,0,Mixto,6.5
Itagüí,Femenino,Operativos,4964391.97,46,14,Tecnólogo,Viudo,0,Nocturno,5.4
Itagüí,Masculino,Servicios Generales,3419670.42,48,28,Secundaria,Divorciado,1,Mixto,4.2
Estrella,Femenino,Servicios Generales,3914173.94,62,18,Secundaria,Divorciado,0,Mixto,3.1
Sabaneta,Masculino,Servicios Generales,2647683.6,61,9,Profesional,Soltero,1,Mixto,3.7
Sabaneta,No Binario,Operativos,3890177.47,23,29,Profesional,Viudo,4,Nocturno,3.4
Itagüí,Femenino,Servicios Generales,3203400.56,32,11,Profesional,Viudo,1,Mixto,2.0
Estrella,Femenino,Servicios Generales,3975703.51,45,1,Técnico,Divorciado,0,Nocturno,4.8
Itagüí,Femenino,Operativos,4234839.67,22,27,Tecnólogo,Unión Libre,0,Mixto,7.3
Bello,No Binario,Operativos,5318169.98,38,37,Secundaria,Casado,0,Mixto,2.7
Sabaneta,Masculino,Operativos,4955335.28,48,19,Técnico,Viudo,2,Mixto,8.6
Itagüí,Masculino,Servicios Generales,3656984.33,20,1,Tecnólogo,Unión Libre,2,Diurno,4.9
Estrella,No Binario,Servicios Generales,3086877.92,30,19,Secundaria,Divorciado,2,Nocturno,7.7
Itagüí,Femenino,Operativos,2361409.03,56,23,Técnico,Divorciado,1,Nocturno,4.9
Estrella,Masculino,Operativos,4259414.61,59,22,Tecnólogo,Soltero,0,Nocturno,1.4
Estrella,No Binario,Servicios Generales,3454644.57,24,28,Secundaria,Divorciado,0,Mixto,5.6
Itagüí,Femenino,Operativos,2362921.32,32,19,Posgrado,Soltero,1,Mixto,9.9
Estrella,Masculino,Operativos,4567312.14,45,36,Profesional,Soltero,0,Diurno,6.1
Sabaneta,Masculino,Operativos,5623116.31,21,20,Técnico,Viudo,1,Diurno,1.4
Itagüí,Masculino,Operativos,4199123.61,38,20,Tecnólogo,Divorciado,0,Nocturno,6.1
Bello,Masculino,Servicios Generales,3533422.53,24,7,Secundaria,Divorciado,1,Nocturno,1.9
Estrella,Femenino,Operativos,3693877.48,25,7,Posgrado,Soltero,0,Nocturno,6.1
Estrella,No Binario,Operativos,5278902.46,34,36,Secundaria,Unión Libre,4,Nocturno,7.3
Bello,Masculino,Administrativa,7607858.05,35,40,Tecnólogo,Soltero,0,Mixto,6.3
Sabaneta,Femenino,Operativos,5978532.68,46,39,Profesional,Soltero,3,Nocturno,5.5
Sabaneta,No Binario,Operativos,4504068.56,49,20,Profesional,Divorciado,0,Mixto,3.6
Itagüí,No Binario,Operativos,3944780.41,61,0,Secundaria,Unión Libre,0,Nocturno,9.8
Sabaneta,Femenino,Operativos,2138197.27,37,34,Secundaria,Viudo,1,Nocturno,5.2
Sabaneta,Femenino,Operativos,5116648.1,48,30,Técnico,Soltero,0,Diurno,7.5
Envigado,No Binario,Operativos,3877036.96,41,19,Secundaria,Divorciado,1,Diurno,8.7
Bello,Masculino,Operativos,4024971.49,61,34,Técnico,Unión Libre,0,Mixto,5.2
Envigado,Masculino,Operativos,5377157.02,45,11,Tecnólogo,Unión Libre,1,Nocturno,3.5
Estrella,No Binario,Operativos,5351855.24,40,36,Secundaria,Casado,0,Nocturno,9.9
Estrella,Masculino,Operativos,4364154.02,43,14,Profesional,Soltero,3,Diurno,4.1
Estrella,Femenino,Operativos,3988899.71,28,1,Profesional,Viudo,2,Diurno,5.2
Itagüí,Masculino,Operativos,5599871.24,52,39,Técnico,Soltero,0,Nocturno,3.6
Sabaneta,Femenino,Operativos,2385129.57,54,3,Técnico,Viudo,1,Diurno,6.6
Sabaneta,Masculino,Operativos,3837886.25,57,6,Profesional,Divorciado,0,Diurno,5.5
Estrella,No Binario,Servicios Generales,2361587.96,27,40,Profesional,Divorciado,3,Nocturno,5.8
Itagüí,Masculino,Operativos,5101872.67,28,7,Primaria,Divorciado,0,Mixto,3.7
Itagüí,Femenino,Operativos,3911897.67,27,37,Secundaria,Divorciado,1,Mixto,5.3
Estrella,Femenino,Operativos,4275154.99,48,13,Posgrado,Divorciado,1,Nocturno,1.5
Medellín,Femenino,Operativos,4233218.77,54,38,Primaria,Divorciado,1,Mixto,9.0
Estrella,Masculino,Servicios Generales,2846519.56,54,40,Profesional,Divorciado,0,Diurno,7.5
Sabaneta,No Binario,Servicios Generales,3352217.93,56,6,Técnico,Viudo,1,Mixto,4.9
Sabaneta,Femenino,Operativos,3110347.41,56,6,Profesional,Viudo,2,Diurno,4.5
Medellín,Femenino,Administrativa,7381259.13,59,25,Profesional,Casado,0,Diurno,6.8
Estrella,Femenino,Operativos,2498436.04,60,37,Profesional,Unión Libre,1,Diurno,1.6
Itagüí,Femenino,Operativos,2428472.4,38,18,Técnico,Viudo,0,Nocturno,3.5
Itagüí,Femenino,Operativos,4057838.8,29,21,Tecnólogo,Casado,3,Mixto,4.1
Estrella,No Binario,Operativos,2768960.66,35,37,Técnico,Casado,1,Nocturno,4.1
Medellín,Femenino,Operativos,4456885.45,31,22,Técnico,Soltero,1,Mixto,6.5
Itagüí,Masculino,Servicios Generales,3725206.3,52,18,Secundaria,Soltero,0,Nocturno,8.9
Medellín,No Binario,Operativos,4653596.99,60,26,Técnico,Viudo,0,Mixto,4.1
Bello,Masculino,Operativos,5882938.43,60,29,Técnico,Soltero,0,Nocturno,3.8
Medellín,No Binario,Servicios Generales,3729473.7,51,6,Técnico,Divorciado,0,Diurno,2.5
Sabaneta,Masculino,Operativos,5226966.55,44,25,Profesional,Casado,0,Diurno,7.1
Estrella,Masculino,Servicios Generales,3909736.11,37,27,Técnico,Casado,3,Mixto,3.7
Bello,Femenino,Servicios Generales,2180622.56,34,28,Posgrado,Viudo,0,Mixto,2.4
Itagüí,Femenino,Operativos,3783813.73,27,36,Técnico,Viudo,0,Nocturno,4.8
Itagüí,Femenino,Operativos,3906911.29,62,35,Secundaria,Divorciado,1,Mixto,9.0
Envigado,Femenino,Operativos,2855378.57,60,17,Tecnólogo,Casado,1,Diurno,4.3
Itagüí,Femenino,Servicios Generales,3880220.19,34,22,Primaria,Unión Libre,2,Nocturno,6.1
Medellín,Femenino,Operativos,5865732.96,56,36,Técnico,Unión Libre,0,Mixto,7.0
Itagüí,Femenino,Operativos,4807063.12,41,0,Técnico,Soltero,0,Nocturno,5.9
Bello,Femenino,Operativos,2855604.41,19,6,Secundaria,Unión Libre,1,Nocturno,1.8
Bello,Masculino,Operativos,2713025.39,36,2,Secundaria,Unión Libre,1,Mixto,5.5
Envigado,Masculino,Operativos,4401588.51,50,6,Técnico,Viudo,0,Nocturno,9.2
Bello,Femenino,Operativos,2116065.17,21,10,Técnico,Soltero,0,Mixto,2.1
Sabaneta,Femenino,Operativos,3675615.67,44,6,Secundaria,Soltero,3,Mixto,3.9
Itagüí,Femenino,Servicios Generales,3868122.85,50,31,Profesional,Soltero,0,Diurno,5.7
Bello,Masculino,Operativos,2191529.7,21,7,Profesional,Soltero,0,Mixto,9.0
Envigado,Femenino,Administrativa,7370097.33,50,19,Técnico,Viudo,1,Nocturno,8.8
Estrella,Femenino,Operativos,3795107.19,56,9,Técnico,Viudo,2,Nocturno,3.7
Itagüí,Femenino,Operativos,3149919.51,62,17,Técnico,Viudo,0,Nocturno,3.9
Estrella,Femenino,Operativos,4142696.38,48,24,Secundaria,Viudo,0,Mixto,9.0
Estrella,Masculino,Servicios Generales,2644805.72,22,33,Secundaria,Soltero,2,Mixto,5.4
Estrella,Femenino,Operativos,2569898.73,56,18,Secundaria,Viudo,0,Diurno,7.8
Envigado,Masculino,Servicios Generales,3141490.92,22,1,Profesional,Unión Libre,0,Nocturno,5.1
Envigado,Masculino,Administrativa,7973135.3,31,9,Técnico,Soltero,0,Diurno,4.8
Estrella,Femenino,Administrativa,7522810.93,45,24,Técnico,Viudo,3,Diurno,7.8
Itagüí,Masculino,Administrativa,7804576.39,39,12,Tecnólogo,Unión Libre,0,Mixto,2.0
Itagüí,Femenino,Operativos,3477807.49,22,18,Técnico,Casado,0,Nocturno,8.6
Itagüí,Femenino,Operativos,3089753.65,36,27,Técnico,Unión Libre,1,Mixto,8.7
Itagüí,Femenino,Operativos,5197186.13,32,30,Tecnólogo,Viudo,1,Mixto,6.8
Sabaneta,Femenino,Operativos,3995926.85,29,2,Secundaria,Casado,0,Diurno,5.8
Bello,Femenino,Operativos,2645697.23,27,34,Profesional,Unión Libre,1,Mixto,1.8
Bello,No Binario,Operativos,2918666.81,22,13,Técnico,Divorciado,0,Nocturno,2.3
Medellín,No Binario,Servicios Generales,3732697.38,22,3,Profesional,Unión Libre,1,Diurno,3.4
Itagüí,Masculino,Operativos,5014136.88,23,19,Técnico,Soltero,1,Nocturno,2.7
Bello,Femenino,Operativos,4447537.77,47,28,Secundaria,Viudo,3,Nocturno,4.2
Medellín,Masculino,Operativos,5025073.58,51,21,Secundaria,Casado,1,Nocturno,9.1
Itagüí,Femenino,Operativos,2128747.71,43,0,Profesional,Divorciado,1,Mixto,4.2
Itagüí,No Binario,Operativos,5170874.55,43,35,Secundaria,Soltero,1,Nocturno,4.9
Bello,Femenino,Administrativa,6292707.88,20,40,Técnico,Divorciado,0,Mixto,3.0
Estrella,Masculino,Operativos,2091409.28,21,35,Técnico,Casado,1,Mixto,1.2
Estrella,Femenino,Operativos,4786698.8,61,18,Secundaria,Casado,0,Nocturno,3.0
Envigado,Femenino,Servicios Generales,2690412.07,23,16,Tecnólogo,Casado,0,Mixto,9.3
Bello,Masculino,Operativos,4064217.65,62,5,Profesional,Unión Libre,1,Diurno,1.8
Sabaneta,Femenino,Operativos,5701563.66,59,34,Técnico,Divorciado,1,Nocturno,4.0
Itagüí,Femenino,Servicios Generales,3815203.16,19,19,Técnico,Unión Libre,1,Mixto,7.6
Envigado,Femenino,Operativos,4633532.29,28,19,Técnico,Divorciado,2,Nocturno,4.4
Estrella,No Binario,Servicios Generales,2855160.37,56,8,Profesional,Divorciado,0,Diurno,4.1
Estrella,Femenino,Operativos,5152960.2,46,31,Técnico,Divorciado,1,Mixto,1.6
Bello,No Binario,Operativos,5025833.0,45,22,Secundaria,Viudo,0,Diurno,3.1
Envigado,No Binario,Operativos,5131643.5,58,40,Profesional,Viudo,1,Mixto,5.7
Medellín,Femenino,Servicios Generales,2396441.42,30,27,Posgrado,Casado,1,Diurno,4.5
Itagüí,Masculino,Administrativa,7714259.48,34,10,Tecnólogo,Soltero,2,Nocturno,1.1
Sabaneta,Masculino,Servicios Generales,2551571.65,22,1,Técnico,Casado,1,Mixto,7.1
Bello,Femenino,Operativos,3956201.08,41,30,Profesional,Unión Libre,0,Mixto,2.2
Medellín,No Binario,Servicios Generales,3261299.76,31,5,Tecnólogo,Soltero,1,Mixto,8.6
Envigado,Masculino,Servicios Generales,3118649.42,50,12,Técnico,Unión Libre,0,Mixto,3.7
Itagüí,Femenino,Operativos,3524610.71,37,28,Profesional,Divorciado,2,Mixto,9.8
Itagüí,Masculino,Operativos,3518979.09,18,20,Tecnólogo,Divorciado,0,Mixto,6.6
Envigado,No Binario,Servicios Generales,2663345.32,43,28,Técnico,Unión Libre,0,Nocturno,6.8
Envigado,Femenino,Operativos,5400552.29,46,4,Profesional,Viudo,3,Mixto,4.2
Medellín,Masculino,Operativos,5515451.29,56,31,Técnico,Divorciado,0,Diurno,3.0
Sabaneta,Femenino,Administrativa,6830662.64,30,33,Profesional,Soltero,2,Nocturno,6.9
Estrella,Masculino,Operativos,5897114.9,48,4,Técnico,Viudo,0,Nocturno,7.6
Itagüí,Masculino,Administrativa,7747370.03,51,18,Técnico,Divorciado,0,Diurno,9.3
Bello,Femenino,Operativos,2300550.38,25,38,Secundaria,Viudo,1,Mixto,8.3
Estrella,Femenino,Servicios Generales,3526083.6,54,35,Técnico,Viudo,1,Diurno,5.2
Estrella,Masculino,Servicios Generales,2662990.67,20,2,Profesional,Soltero,0,Diurno,1.2
Envigado,Femenino,Operativos,3001086.71,43,15,Tecnólogo,Casado,1,Mixto,7.0
Medellín,Femenino,Administrativa,6091127.64,45,20,Tecnólogo,Unión Libre,0,Nocturno,6.3
Estrella,Masculino,Operativos,5769152.16,58,11,Profesional,Divorciado,3,Nocturno,3.6
Sabaneta,No Binario,Operativos,3380551.39,31,18,Profesional,Soltero,2,Diurno,1.3
Estrella,Femenino,Operativos,2927597.05,42,19,Profesional,Casado,1,Nocturno,3.3
Bello,Femenino,Servicios Generales,2563485.62,23,28,Profesional,Viudo,0,Diurno,6.6
Bello,Femenino,Operativos,5021844.17,36,11,Técnico,Soltero,0,Mixto,8.7
Bello,Femenino,Operativos,5010215.2,54,0,Profesional,Soltero,0,Diurno,3.5
Medellín,Masculino,Servicios Generales,3921478.49,27,0,Técnico,Divorciado,0,Nocturno,7.6
Itagüí,Masculino,Servicios Generales,2586941.99,48,20,Secundaria,Divorciado,0,Nocturno,2.6
Sabaneta,Masculino,Servicios Generales,2583355.78,59,3,Técnico,Casado,0,Nocturno,4.4
